filename,postgres_time_0,postgres_time_1,postgres_time_2
row_more_sep_row0_col7.csv,0.01899433135986328,0.015606880187988281,0.016365766525268555
file_header_multirow_2.csv,0.017554283142089844,0.016748428344726562,0.01676177978515625
row_more_sep_row42_col0.csv,0.013598442077636719,0.012209892272949219,0.012199640274047852
row_field_delimiter_78_0x20.csv,0.012922525405883789,0.013002157211303711,0.014230966567993164
row_extra_quote59_col1.csv,0.014270305633544922,0.013090133666992188,0.011684179306030273
row_less_sep_row58_col7.csv,0.012301445007324219,0.010709524154663086,0.011622190475463867
row_more_sep_row21_col8.csv,0.013515472412109375,0.014970064163208008,0.013868093490600586
row_less_sep_row20_col8.csv,0.014937162399291992,0.012835264205932617,0.013584136962890625
row_more_sep_row64_col1.csv,0.01558828353881836,0.012712955474853516,0.012960433959960938
row_extra_quote41_col3.csv,0.0140380859375,0.026470422744750977,0.013416051864624023
row_less_sep_row43_col4.csv,0.015130758285522461,0.013590574264526367,0.01274561882019043
row_extra_quote53_col1.csv,0.013686418533325195,0.014499902725219727,0.011922121047973633
row_more_sep_row19_col4.csv,0.011688232421875,0.013009786605834961,0.01182103157043457
row_more_sep_row12_col7.csv,0.013681888580322266,0.012401819229125977,0.014698266983032227
row_less_sep_row61_col8.csv,0.015513896942138672,0.015132904052734375,0.012523651123046875
row_more_sep_row2_col7.csv,0.014597415924072266,0.014392375946044922,0.013925552368164062
row_less_sep_row41_col4.csv,0.015393972396850586,0.013684272766113281,0.013283014297485352
row_less_sep_row39_col3.csv,0.012909650802612305,0.01424407958984375,0.012361764907836914
row_extra_quote71_col3.csv,0.014950275421142578,0.014998912811279297,0.013042449951171875
row_extra_quote22_col0.csv,0.015190601348876953,0.014321565628051758,0.012944698333740234
row_more_sep_row51_col1.csv,0.013631820678710938,0.012729883193969727,0.013398408889770508
row_extra_quote30_col5.csv,0.014510631561279297,0.014104843139648438,0.012845516204833984
row_extra_quote39_col3.csv,0.014767646789550781,0.014108657836914062,0.016453981399536133
row_field_delimiter_37_0x20.csv,0.015197038650512695,0.013266801834106445,0.012447118759155273
row_less_sep_row74_col1.csv,0.016407012939453125,0.013303041458129883,0.014470338821411133
row_extra_quote31_col7.csv,0.01611781120300293,0.013848543167114258,0.013590574264526367
row_field_delimiter_70_0x20.csv,0.013750314712524414,0.014144659042358398,0.013049602508544922
row_more_sep_row44_col2.csv,0.013744592666625977,0.014320850372314453,0.014716863632202148
row_less_sep_row66_col4.csv,0.014320850372314453,0.014800310134887695,0.01374959945678711
