filename,univocity_time_0,univocity_time_1,univocity_time_2
"row_extra_quote80_col1.csv",0.05753321200609207,0.007259857840836048,0.007145698182284832
"row_less_sep_row57_col2.csv",0.009423825889825821,0.008447512984275818,0.007388471160084009
"row_extra_quote57_col2.csv",0.008871309459209442,0.007623828947544098,0.01972297765314579
"row_extra_quote33_col5.csv",0.00655954796820879,0.005333844106644392,0.005376641172915697
"row_less_sep_row81_col5.csv",0.006933494005352259,0.005362951196730137,0.005448481999337673
"row_less_sep_row2_col7.csv",0.006252964027225971,0.01232402678579092,0.004896477796137333
"row_less_sep_row67_col4.csv",0.006143304985016584,0.00621881615370512,0.005262455902993679
"row_less_sep_row21_col4.csv",0.006935469806194305,0.004802116192877293,0.005079974886029959
"row_more_sep_row17_col6.csv",0.012140697799623013,0.005122420843690634,0.005551043897867203
"row_less_sep_row56_col2.csv",0.008529066108167171,0.005562761798501015,0.005845400970429182
"row_more_sep_row57_col2.csv",0.007290710229426622,0.005506736226379871,0.01238478533923626
"row_extra_quote14_col4.csv",0.00872824341058731,0.007809439208358526,0.008754909969866276
"row_less_sep_row61_col6.csv",0.011001015082001686,0.007557168137282133,0.007726621814072132
"row_extra_quote20_col6.csv",0.009320562705397606,0.016117176041007042,0.004928684793412685
"row_extra_quote74_col3.csv",0.006743350997567177,0.006083167158067226,0.007115860003978014
"row_extra_quote53_col7.csv",0.008588574826717377,0.0067766099236905575,0.006673797965049744
"row_less_sep_row34_col6.csv",0.006419957149773836,0.008449646644294262,0.019570577889680862
"row_more_sep_row5_col3.csv",0.005823920015245676,0.004351736977696419,0.004706964828073978
"row_more_sep_row10_col0.csv",0.005609327927231789,0.0037872029934078455,0.004156467970460653
"row_less_sep_row2_col2.csv",0.005137333180755377,0.004449713975191116,0.00392411882057786
"row_more_sep_row61_col5.csv",0.013771017082035542,0.00393378920853138,0.004420306067913771
"row_extra_quote12_col5.csv",0.0058060139417648315,0.003944202791899443,0.0038081270176917315
"row_less_sep_row47_col2.csv",0.00543304393067956,0.004364676773548126,0.004455306101590395
"row_more_sep_row13_col2.csv",0.006558987777680159,0.009524577297270298,0.0044007268734276295
"row_extra_quote41_col1.csv",0.004905825015157461,0.003955542109906673,0.004395696800202131
"row_more_sep_row37_col5.csv",0.005741000175476074,0.004682765807956457,0.004351822193711996
"row_extra_quote58_col4.csv",0.004808893892914057,0.0038997039664536715,0.01199919544160366
"row_extra_quote6_col8.csv",0.006129677873104811,0.004471573047339916,0.00481730792671442
"row_more_sep_row2_col4.csv",0.005132406949996948,0.004021618980914354,0.004889337811619043
"row_more_sep_row76_col5.csv",0.0041215731762349606,0.0039498768746852875,0.00428445590659976
"row_extra_quote75_col8.csv",0.004090695176273584,0.018620384857058525,0.007846314460039139
"row_extra_quote16_col6.csv",0.02074114792048931,0.004266202915459871,0.0042364150285720825
"row_less_sep_row25_col7.csv",0.004652081057429314,0.004689971916377544,0.004125011153519154
