filename,mysql_time_0,mysql_time_1,mysql_time_2
row_extra_quote80_col1.csv,0.6418857574462891,0.09914112091064453,0.10605311393737793
row_less_sep_row57_col2.csv,0.10503244400024414,0.10046005249023438,0.07470107078552246
row_extra_quote57_col2.csv,0.07750535011291504,0.08113551139831543,0.07242965698242188
row_extra_quote33_col5.csv,0.10217046737670898,0.10307717323303223,0.0710916519165039
row_less_sep_row81_col5.csv,0.08033299446105957,0.0792086124420166,0.07729125022888184
row_less_sep_row2_col7.csv,0.08106398582458496,0.08179569244384766,0.11044979095458984
row_less_sep_row67_col4.csv,0.10406255722045898,0.07038187980651855,0.09935331344604492
row_less_sep_row21_col4.csv,0.07660388946533203,0.10727071762084961,0.10218286514282227
row_more_sep_row17_col6.csv,0.08199954032897949,0.07325100898742676,0.07591938972473145
row_less_sep_row56_col2.csv,0.07634568214416504,0.07645916938781738,0.07573938369750977
row_more_sep_row57_col2.csv,0.07501721382141113,0.08814573287963867,0.07577323913574219
row_extra_quote14_col4.csv,0.07121491432189941,0.08295822143554688,0.07431364059448242
row_less_sep_row61_col6.csv,0.08498430252075195,0.10034322738647461,0.07146596908569336
row_extra_quote20_col6.csv,0.07864141464233398,0.11274981498718262,0.10539388656616211
row_extra_quote74_col3.csv,0.10541534423828125,0.0744481086730957,0.07882857322692871
row_extra_quote53_col7.csv,0.0980379581451416,0.07275819778442383,0.07313919067382812
row_less_sep_row34_col6.csv,0.07855439186096191,0.07166409492492676,0.06453895568847656
row_more_sep_row5_col3.csv,0.06949830055236816,0.07483339309692383,0.07062292098999023
row_more_sep_row10_col0.csv,0.07319808006286621,0.07974648475646973,0.07228827476501465
row_less_sep_row2_col2.csv,0.08872246742248535,0.10455465316772461,0.09769606590270996
row_more_sep_row61_col5.csv,0.10292887687683105,0.10007572174072266,0.0692596435546875
row_extra_quote12_col5.csv,0.07023072242736816,0.10027670860290527,0.08642458915710449
row_less_sep_row47_col2.csv,0.07743573188781738,0.10492062568664551,0.09142351150512695
row_more_sep_row13_col2.csv,0.10248613357543945,0.1184077262878418,0.07256245613098145
row_extra_quote41_col1.csv,0.07506775856018066,0.08278989791870117,0.09989118576049805
row_more_sep_row37_col5.csv,0.07845520973205566,0.07633113861083984,0.10408234596252441
row_extra_quote58_col4.csv,0.07105112075805664,0.10035014152526855,0.0643470287322998
