filename,mariadb_time_0,mariadb_time_1,mariadb_time_2
row_extra_quote80_col1.csv,0.10151028633117676,0.034832000732421875,0.03398776054382324
row_less_sep_row57_col2.csv,0.02767777442932129,0.028620004653930664,0.037830352783203125
row_extra_quote57_col2.csv,0.026028871536254883,0.03326869010925293,0.029158830642700195
row_extra_quote33_col5.csv,0.039604902267456055,0.03773665428161621,0.028853654861450195
row_less_sep_row81_col5.csv,0.031213998794555664,0.030318498611450195,0.03435206413269043
row_less_sep_row2_col7.csv,0.03081202507019043,0.03147530555725098,0.0332186222076416
row_less_sep_row67_col4.csv,0.034297943115234375,0.030452489852905273,0.035848140716552734
row_less_sep_row21_col4.csv,0.03188467025756836,0.0297086238861084,0.030292510986328125
row_more_sep_row17_col6.csv,0.025547027587890625,0.029747724533081055,0.028234004974365234
row_less_sep_row56_col2.csv,0.029616594314575195,0.02659130096435547,0.04266953468322754
row_more_sep_row57_col2.csv,0.027318239212036133,0.03895854949951172,0.04892420768737793
row_extra_quote14_col4.csv,0.06623435020446777,0.04403042793273926,0.028375864028930664
row_less_sep_row61_col6.csv,0.024568796157836914,0.028841257095336914,0.030816316604614258
row_extra_quote20_col6.csv,0.029520511627197266,0.02661418914794922,0.025990962982177734
row_extra_quote74_col3.csv,0.03999972343444824,0.021100759506225586,0.022518396377563477
row_extra_quote53_col7.csv,0.022645950317382812,0.02727484703063965,0.027785539627075195
row_less_sep_row34_col6.csv,0.025438785552978516,0.029967784881591797,0.027903318405151367
row_more_sep_row5_col3.csv,0.026957273483276367,0.027936220169067383,0.026421785354614258
row_more_sep_row10_col0.csv,0.02759075164794922,0.0262601375579834,0.029247283935546875
row_less_sep_row2_col2.csv,0.02678513526916504,0.02545309066772461,0.035058021545410156
row_more_sep_row61_col5.csv,0.02861809730529785,0.023238182067871094,0.0291900634765625
row_extra_quote12_col5.csv,0.02520275115966797,0.02555108070373535,0.025524616241455078
row_less_sep_row47_col2.csv,0.027074575424194336,0.0286865234375,0.029627323150634766
row_more_sep_row13_col2.csv,0.02951955795288086,0.028467416763305664,0.02722024917602539
row_extra_quote41_col1.csv,0.0265500545501709,0.02705240249633789,0.024245023727416992
row_more_sep_row37_col5.csv,0.035195112228393555,0.0274507999420166,0.03454852104187012
row_extra_quote58_col4.csv,0.03132963180541992,0.026696205139160156,0.0296170711517334
row_extra_quote6_col8.csv,0.029274940490722656,0.0303499698638916,0.0325016975402832
row_more_sep_row2_col4.csv,0.028185129165649414,0.02949833869934082,0.029082536697387695
row_more_sep_row76_col5.csv,0.032846927642822266,0.0238034725189209,0.02475738525390625
row_extra_quote75_col8.csv,0.03221607208251953,0.026856660842895508,0.029321908950805664
row_extra_quote16_col6.csv,0.030050039291381836,0.02422618865966797,0.028366565704345703
row_less_sep_row25_col7.csv,0.03766942024230957,0.03493475914001465,0.05077815055847168
row_extra_quote3_col1.csv,0.05247616767883301,0.05158114433288574,0.07814455032348633
row_less_sep_row44_col6.csv,0.04273390769958496,0.03418540954589844,0.026128530502319336
row_more_sep_row8_col5.csv,0.029459714889526367,0.03440999984741211,0.02846217155456543
row_more_sep_row31_col8.csv,0.027558565139770508,0.02866387367248535,0.02919793128967285
row_more_sep_row5_col6.csv,0.029544830322265625,0.038281917572021484,0.03293967247009277
row_extra_quote59_col8.csv,0.02941298484802246,0.03149843215942383,0.03252005577087402
row_less_sep_row41_col6.csv,0.023968935012817383,0.028186559677124023,0.02751469612121582
row_extra_quote53_col8.csv,0.026968955993652344,0.029514312744140625,0.02902841567993164
row_more_sep_row3_col1.csv,0.03935575485229492,0.0297696590423584,0.03351235389709473
row_more_sep_row81_col1.csv,0.02943730354309082,0.027415752410888672,0.031949758529663086
row_extra_quote44_col7.csv,0.034911394119262695,0.03707432746887207,0.029749393463134766
row_extra_quote41_col5.csv,0.030472517013549805,0.03119349479675293,0.030599355697631836
row_more_sep_row74_col5.csv,0.030005693435668945,0.029494524002075195,0.027466535568237305
row_more_sep_row28_col0.csv,0.03285527229309082,0.027953624725341797,0.027127504348754883
row_more_sep_row47_col5.csv,0.026458263397216797,0.028693437576293945,0.030735254287719727
row_more_sep_row44_col4.csv,0.027652502059936523,0.03277301788330078,0.03214240074157715
row_more_sep_row51_col6.csv,0.02891087532043457,0.02819967269897461,0.03129172325134277
row_more_sep_row32_col1.csv,0.02648472785949707,0.025217771530151367,0.02812647819519043
row_extra_quote46_col3.csv,0.030475378036499023,0.03199172019958496,0.028849363327026367
row_extra_quote56_col2.csv,0.0287325382232666,0.027086973190307617,0.03032398223876953
row_more_sep_row30_col6.csv,0.030485153198242188,0.02891397476196289,0.027654170989990234
row_less_sep_row69_col4.csv,0.027745485305786133,0.030475616455078125,0.03025341033935547
