sut,success,headerprecision,headerrecall,headerf1,recordprecision,recordrecall,recordf1,cellprecision,cellrecall,cellf1,pollock_simple
duckdbauto,1.0,0.9774480712166171,0.9250247279920871,0.9488535203668734,0.9909495548961424,0.9855280229167471,0.987478754870374,0.9879044792991379,0.9304779158607618,0.9560060909946384,9.689671138413377
pycsv,0.9970326409495549,0.6824925816023739,0.6846191889218595,0.6832414865055815,0.527893175074184,0.6250274345318259,0.5527812202981937,0.5387028401865197,0.6764134802994768,0.5702537592452246,6.538457807614794
duckdbparse,1.0,0.9970326409495549,0.9970326409495549,0.9970326409495549,0.8114243323442137,0.9092323493005389,0.8366636462845496,0.8329800763035184,0.9617932307874627,0.8625313283604685,9.205722886229417
clevercs,1.0,0.9810089020771514,0.9803165182987141,0.9804513982555525,0.9939169139465875,0.9886437499197144,0.9905222000503175,0.9896283736046347,0.9864449549656414,0.9872901109793117,9.878223122097626
pandas,0.685459940652819,0.6605341246290802,0.659841740850643,0.6599766208074813,0.6268545994065282,0.6375711331200945,0.6315294558039004,0.6454429843153878,0.6577312383464855,0.649953067546798,6.514894905479219
