filename,clevercs_time_0,clevercs_time_1,clevercs_time_2
row_extra_quote80_col1.csv,0.031163930892944336,0.02340555191040039,0.02358865737915039
row_less_sep_row57_col2.csv,0.023845195770263672,0.023736238479614258,0.025566577911376953
row_extra_quote57_col2.csv,0.024819135665893555,0.024068593978881836,0.024427175521850586
row_extra_quote33_col5.csv,0.0305330753326416,0.03216695785522461,0.03201651573181152
row_less_sep_row81_col5.csv,0.024310827255249023,0.025626182556152344,0.024118900299072266
row_less_sep_row2_col7.csv,0.023623228073120117,0.02378392219543457,0.02394270896911621
row_less_sep_row67_col4.csv,0.02651071548461914,0.024438142776489258,0.023801803588867188
row_less_sep_row21_col4.csv,0.02316904067993164,0.02414846420288086,0.023471593856811523
row_more_sep_row17_col6.csv,0.02312779426574707,0.0233461856842041,0.02361893653869629
row_less_sep_row56_col2.csv,0.024081945419311523,0.024176836013793945,0.024516582489013672
row_more_sep_row57_col2.csv,0.02473282814025879,0.026970624923706055,0.023951292037963867
row_extra_quote14_col4.csv,0.03125333786010742,0.0296475887298584,0.02962779998779297
row_less_sep_row61_col6.csv,0.023737192153930664,0.025284290313720703,0.023436784744262695
row_extra_quote20_col6.csv,0.03362298011779785,0.033258914947509766,0.03396964073181152
row_extra_quote74_col3.csv,0.026482820510864258,0.02345108985900879,0.025074481964111328
row_extra_quote53_col7.csv,0.026765823364257812,0.02698230743408203,0.029353618621826172
row_less_sep_row34_col6.csv,0.025246858596801758,0.024573802947998047,0.024684429168701172
row_more_sep_row5_col3.csv,0.02406167984008789,0.02442455291748047,0.025122642517089844
row_more_sep_row10_col0.csv,0.026800155639648438,0.023146629333496094,0.024728775024414062
row_less_sep_row2_col2.csv,0.024332046508789062,0.024451255798339844,0.024956703186035156
row_more_sep_row61_col5.csv,0.026077985763549805,0.024393558502197266,0.02420520782470703
row_extra_quote12_col5.csv,0.03156447410583496,0.03731703758239746,0.03447294235229492
row_less_sep_row47_col2.csv,0.043714046478271484,0.0378415584564209,0.038433074951171875
