filename,duckdbparse_time_0,duckdbparse_time_1,duckdbparse_time_2
row_extra_quote14_col4.csv,0.0008726119995117188,0.0009906291961669922,0.0010409355163574219
row_more_sep_row5_col3.csv,0.0012021064758300781,0.001165628433227539,0.0013027191162109375
row_more_sep_row10_col0.csv,0.0018832683563232422,0.002851724624633789,0.0015523433685302734
row_less_sep_row2_col2.csv,0.0017728805541992188,0.0018198490142822266,0.0016493797302246094
row_more_sep_row13_col2.csv,0.0009996891021728516,0.0018968582153320312,0.002427816390991211
row_more_sep_row2_col4.csv,0.003087759017944336,0.0010504722595214844,0.002763509750366211
row_extra_quote3_col1.csv,0.0016019344329833984,0.002736806869506836,0.0012784004211425781
row_more_sep_row3_col1.csv,0.0011286735534667969,0.0031392574310302734,0.0025246143341064453
row_extra_quote0_col0.csv,0.0017209053039550781,0.0034792423248291016,0.0014116764068603516
row_extra_quote10_col3.csv,0.0017817020416259766,0.002118825912475586,0.001779317855834961
row_more_sep_row8_col2.csv,0.002205371856689453,0.0024862289428710938,0.002005338668823242
row_extra_quote17_col1.csv,0.002336263656616211,0.0016257762908935547,0.0013611316680908203
row_less_sep_row15_col1.csv,0.0023436546325683594,0.0013852119445800781,0.0015172958374023438
row_more_sep_row19_col0.csv,0.002089977264404297,0.0019121170043945312,0.0015659332275390625
row_extra_quote5_col2.csv,0.0021173954010009766,0.0016088485717773438,0.0012238025665283203
row_less_sep_row4_col2.csv,0.0018303394317626953,0.0024476051330566406,0.002306222915649414
row_less_sep_row10_col1.csv,0.002378225326538086,0.0015382766723632812,0.0017845630645751953
row_extra_quote1_col3.csv,0.001968860626220703,0.0018658638000488281,0.0021932125091552734
row_field_delimiter_5_0x20.csv,0.001725912094116211,0.0021326541900634766,0.0014705657958984375
row_less_sep_row4_col4.csv,0.0029211044311523438,0.00179290771484375,0.002368927001953125
row_less_sep_row19_col4.csv,0.001522064208984375,0.0017590522766113281,0.0032434463500976562
row_less_sep_row5_col1.csv,0.0015704631805419922,0.002823352813720703,0.002748250961303711
row_more_sep_row11_col0.csv,0.004148721694946289,0.0022132396697998047,0.0028557777404785156
row_extra_quote4_col3.csv,0.003329038619995117,0.001306295394897461,0.0024149417877197266
row_field_delimiter_1_0x20.csv,0.002417325973510742,0.0028460025787353516,0.0024073123931884766
row_less_sep_row16_col3.csv,0.0030291080474853516,0.0018663406372070312,0.0025949478149414062
row_less_sep_row20_col3.csv,0.002820253372192383,0.002189159393310547,0.003962993621826172
row_more_sep_row13_col3.csv,0.0017957687377929688,0.001678466796875,0.0025069713592529297
row_extra_quote3_col4.csv,0.0024378299713134766,0.001951456069946289,0.002121448516845703
row_more_sep_row6_col0.csv,0.0020139217376708984,0.003069639205932617,0.0023186206817626953
row_extra_quote11_col4.csv,0.001500844955444336,0.0017817020416259766,0.0024209022521972656
row_extra_quote11_col2.csv,0.0013642311096191406,0.0010666847229003906,0.0019817352294921875
row_less_sep_row13_col2.csv,0.002051115036010742,0.001485586166381836,0.0014231204986572266
row_field_delimiter_4_0x20.csv,0.0015957355499267578,0.0014133453369140625,0.0017604827880859375
row_more_sep_row2_col3.csv,0.0018742084503173828,0.0016508102416992188,0.0020737648010253906
row_more_sep_row15_col2.csv,0.002461671829223633,0.001318216323852539,0.00197601318359375
row_more_sep_row15_col0.csv,0.0017082691192626953,0.0016913414001464844,0.0013244152069091797
row_less_sep_row2_col4.csv,0.002413034439086914,0.0017542839050292969,0.002836942672729492
row_more_sep_row4_col3.csv,0.0019834041595458984,0.002077341079711914,0.0014486312866210938
row_extra_quote1_col4.csv,0.0032949447631835938,0.0013883113861083984,0.002851247787475586
row_less_sep_row15_col2.csv,0.0014269351959228516,0.001561880111694336,0.0016913414001464844
row_less_sep_row1_col1.csv,0.003018617630004883,0.0024890899658203125,0.001796722412109375
row_less_sep_row9_col3.csv,0.0019278526306152344,0.0033562183380126953,0.0016846656799316406
row_field_delimiter_3_0x20.csv,0.0020117759704589844,0.0015344619750976562,0.0020003318786621094
row_more_sep_row18_col4.csv,0.001758575439453125,0.0011982917785644531,0.002047300338745117
row_extra_quote19_col0.csv,0.0026140213012695312,0.0018277168273925781,0.0014772415161132812
row_less_sep_row15_col4.csv,0.0017120838165283203,0.0012743473052978516,0.0017924308776855469
row_extra_quote2_col2.csv,0.001794576644897461,0.0021533966064453125,0.0018935203552246094
row_more_sep_row12_col0.csv,0.0011136531829833984,0.002300262451171875,0.0016832351684570312
row_extra_quote0_col3.csv,0.0017299652099609375,0.0013284683227539062,0.001241922378540039
row_less_sep_row10_col3.csv,0.0013222694396972656,0.001827239990234375,0.0019390583038330078
file_header_multirow_2.csv,0.0035202503204345703,0.0014896392822265625,0.002674579620361328
row_more_sep_row8_col1.csv,0.0012917518615722656,0.0020041465759277344,0.0015673637390136719
row_extra_quote7_col0.csv,0.002035379409790039,0.0014028549194335938,0.001744985580444336
row_more_sep_row15_col1.csv,0.0017430782318115234,0.002026796340942383,0.002856016159057617
row_more_sep_row19_col4.csv,0.0020072460174560547,0.0016469955444335938,0.0017549991607666016
row_extra_quote20_col1.csv,0.0019648075103759766,0.0016217231750488281,0.0023279190063476562
file_preamble.csv,0.001283407211303711,0.002238750457763672,0.0011425018310546875
row_more_sep_row5_col1.csv,0.0017604827880859375,0.0011653900146484375,0.002196073532104492
row_more_sep_row16_col3.csv,0.0013210773468017578,0.0013654232025146484,0.0012614727020263672
row_less_sep_row0_col1.csv,0.002341032028198242,0.0017497539520263672,0.0017299652099609375
row_field_delimiter_6_0x20.csv,0.0016040802001953125,0.001857757568359375,0.0013911724090576172
row_extra_quote8_col3.csv,0.0015716552734375,0.0015494823455810547,0.0014390945434570312
file_record_delimiter_0xA.csv,0.0018334388732910156,0.0015604496002197266,0.0014946460723876953
row_more_sep_row1_col4.csv,0.0026705265045166016,0.001272439956665039,0.0012269020080566406
row_extra_quote8_col0.csv,0.0016167163848876953,0.001003265380859375,0.0015807151794433594
row_less_sep_row4_col3.csv,0.002885580062866211,0.0020940303802490234,0.001710653305053711
row_less_sep_row17_col4.csv,0.001497030258178711,0.0016851425170898438,0.001390218734741211
row_extra_quote0_col4.csv,0.0017039775848388672,0.0012214183807373047,0.0012845993041992188
row_more_sep_row11_col2.csv,0.001940011978149414,0.0014925003051757812,0.0016667842864990234
row_less_sep_row11_col2.csv,0.0013234615325927734,0.0011534690856933594,0.0015053749084472656
row_more_sep_row18_col3.csv,0.001506805419921875,0.0011284351348876953,0.001321554183959961
row_extra_quote17_col0.csv,0.0014455318450927734,0.0012612342834472656,0.0011420249938964844
row_extra_quote19_col4.csv,0.0015406608581542969,0.0012314319610595703,0.0011234283447265625
row_more_sep_row6_col4.csv,0.001392364501953125,0.0017437934875488281,0.0013537406921386719
row_more_sep_row2_col0.csv,0.0011882781982421875,0.0013298988342285156,0.001987457275390625
row_more_sep_row13_col1.csv,0.0017824172973632812,0.0016317367553710938,0.0013191699981689453
row_more_sep_row6_col1.csv,0.0013353824615478516,0.0014712810516357422,0.0013093948364257812
row_less_sep_row0_col3.csv,0.0013740062713623047,0.0017812252044677734,0.0018544197082519531
