filename,duckdbauto_time_0,duckdbauto_time_1,duckdbauto_time_2
row_extra_quote14_col4.csv,0.02471303939819336,0.005486726760864258,0.004758596420288086
row_more_sep_row5_col3.csv,0.008668184280395508,0.005021333694458008,0.006436586380004883
row_more_sep_row10_col0.csv,0.007163524627685547,0.006561756134033203,0.005568742752075195
row_less_sep_row2_col2.csv,0.0074269771575927734,0.006146669387817383,0.008217573165893555
row_more_sep_row13_col2.csv,0.0075893402099609375,0.0077326297760009766,0.006039619445800781
row_more_sep_row2_col4.csv,0.010258913040161133,0.006615400314331055,0.00632166862487793
row_extra_quote3_col1.csv,0.007200479507446289,0.007065534591674805,0.0066716670989990234
row_more_sep_row3_col1.csv,0.007044553756713867,0.007199764251708984,0.007884502410888672
row_extra_quote0_col0.csv,0.006655693054199219,0.008605480194091797,0.00657200813293457
row_extra_quote10_col3.csv,0.007680177688598633,0.0074291229248046875,0.0067403316497802734
row_more_sep_row8_col2.csv,0.008917808532714844,0.0069959163665771484,0.006886959075927734
row_extra_quote17_col1.csv,0.00712275505065918,0.00816202163696289,0.006825685501098633
row_less_sep_row15_col1.csv,0.007726192474365234,0.00801396369934082,0.006845235824584961
row_more_sep_row19_col0.csv,0.00873708724975586,0.006754159927368164,0.007766246795654297
row_extra_quote5_col2.csv,0.012070894241333008,0.008310079574584961,0.0075550079345703125
row_less_sep_row4_col2.csv,0.009723186492919922,0.007413625717163086,0.00809335708618164
row_less_sep_row10_col1.csv,0.007283687591552734,0.007058858871459961,0.0073986053466796875
row_extra_quote1_col3.csv,0.00894474983215332,0.0075151920318603516,0.0075566768646240234
row_field_delimiter_5_0x20.csv,0.006932258605957031,0.00908041000366211,0.006995439529418945
row_less_sep_row4_col4.csv,0.008787155151367188,0.007005453109741211,0.007658243179321289
row_less_sep_row19_col4.csv,0.007561206817626953,0.007606029510498047,0.0074117183685302734
row_less_sep_row5_col1.csv,0.00865793228149414,0.007709980010986328,0.007349729537963867
row_more_sep_row11_col0.csv,0.007596015930175781,0.007298469543457031,0.007295131683349609
row_extra_quote4_col3.csv,0.00941157341003418,0.007236003875732422,0.007122516632080078
row_field_delimiter_1_0x20.csv,0.008281230926513672,0.007054805755615234,0.00783848762512207
row_less_sep_row16_col3.csv,0.009311199188232422,0.007221221923828125,0.007524728775024414
row_less_sep_row20_col3.csv,0.009852409362792969,0.007191896438598633,0.0076906681060791016
row_more_sep_row13_col3.csv,0.009358406066894531,0.007300615310668945,0.006795167922973633
row_extra_quote3_col4.csv,0.008610963821411133,0.006563425064086914,0.007825851440429688
row_more_sep_row6_col0.csv,0.008597612380981445,0.008827924728393555,0.0069887638092041016
row_extra_quote11_col4.csv,0.009465217590332031,0.0070569515228271484,0.007065534591674805
row_extra_quote11_col2.csv,0.008419275283813477,0.006353855133056641,0.007289886474609375
row_less_sep_row13_col2.csv,0.008424997329711914,0.006934642791748047,0.007069587707519531
row_field_delimiter_4_0x20.csv,0.008212804794311523,0.006805419921875,0.006578922271728516
row_more_sep_row2_col3.csv,0.009319067001342773,0.0065801143646240234,0.006838560104370117
row_more_sep_row15_col2.csv,0.009970426559448242,0.006451129913330078,0.007275104522705078
row_more_sep_row15_col0.csv,0.009115457534790039,0.007204532623291016,0.007135629653930664
row_less_sep_row2_col4.csv,0.008973836898803711,0.006644487380981445,0.006581306457519531
row_more_sep_row4_col3.csv,0.00799107551574707,0.007061004638671875,0.006684064865112305
row_extra_quote1_col4.csv,0.009287118911743164,0.006745815277099609,0.00733184814453125
row_less_sep_row15_col2.csv,0.00900125503540039,0.006762027740478516,0.006800651550292969
row_less_sep_row1_col1.csv,0.007837057113647461,0.006943225860595703,0.006697893142700195
row_less_sep_row9_col3.csv,0.009362936019897461,0.007978200912475586,0.006430149078369141
row_field_delimiter_3_0x20.csv,0.009565591812133789,0.006323814392089844,0.0073359012603759766
row_more_sep_row18_col4.csv,0.007961273193359375,0.006335020065307617,0.007195711135864258
row_extra_quote19_col0.csv,0.007741451263427734,0.006403446197509766,0.0063936710357666016
row_less_sep_row15_col4.csv,0.008045434951782227,0.007415294647216797,0.006908893585205078
row_extra_quote2_col2.csv,0.007413625717163086,0.006461143493652344,0.006754636764526367
row_more_sep_row12_col0.csv,0.008234739303588867,0.0065305233001708984,0.006487369537353516
row_extra_quote0_col3.csv,0.007871866226196289,0.006328582763671875,0.0072596073150634766
row_less_sep_row10_col3.csv,0.007767200469970703,0.007243156433105469,0.006249427795410156
file_header_multirow_2.csv,0.008758544921875,0.006830692291259766,0.0066852569580078125
row_more_sep_row8_col1.csv,0.008194446563720703,0.0072934627532958984,0.006708860397338867
row_extra_quote7_col0.csv,0.0075969696044921875,0.006632089614868164,0.006284475326538086
row_more_sep_row15_col1.csv,0.007543325424194336,0.006798982620239258,0.0070993900299072266
row_more_sep_row19_col4.csv,0.007779121398925781,0.0074307918548583984,0.0067865848541259766
row_extra_quote20_col1.csv,0.007346630096435547,0.007197141647338867,0.007113456726074219
file_preamble.csv,0.007335186004638672,0.006886482238769531,0.00692439079284668
row_more_sep_row5_col1.csv,0.007840871810913086,0.007653713226318359,0.0068225860595703125
row_more_sep_row16_col3.csv,0.008336067199707031,0.0060617923736572266,0.007555246353149414
row_less_sep_row0_col1.csv,0.007418632507324219,0.0074918270111083984,0.006764650344848633
row_field_delimiter_6_0x20.csv,0.008888959884643555,0.0066907405853271484,0.0068547725677490234
row_extra_quote8_col3.csv,0.008031368255615234,0.007377147674560547,0.006887197494506836
file_record_delimiter_0xA.csv,0.009296178817749023,0.0064601898193359375,0.007681846618652344
row_more_sep_row1_col4.csv,0.007869482040405273,0.006530046463012695,0.0071773529052734375
row_extra_quote8_col0.csv,0.008900642395019531,0.006667613983154297,0.007157087326049805
row_less_sep_row4_col3.csv,0.007826566696166992,0.007519960403442383,0.006887197494506836
row_less_sep_row17_col4.csv,0.007612705230712891,0.007372856140136719,0.007720470428466797
row_extra_quote0_col4.csv,0.00932455062866211,0.006831645965576172,0.007251739501953125
row_more_sep_row11_col2.csv,0.008699893951416016,0.007096529006958008,0.006456613540649414
row_less_sep_row11_col2.csv,0.007346153259277344,0.007422924041748047,0.006873130798339844
row_more_sep_row18_col3.csv,0.007119655609130859,0.007560014724731445,0.007489442825317383
row_extra_quote17_col0.csv,0.00955963134765625,0.006316661834716797,0.007105350494384766
row_extra_quote19_col4.csv,0.007482767105102539,0.007273197174072266,0.006988525390625
row_more_sep_row6_col4.csv,0.008539199829101562,0.0065076351165771484,0.007531881332397461
row_more_sep_row2_col0.csv,0.00714421272277832,0.006990194320678711,0.0073244571685791016
row_more_sep_row13_col1.csv,0.0082855224609375,0.0065920352935791016,0.007708072662353516
row_more_sep_row6_col1.csv,0.006628751754760742,0.006972789764404297,0.0065805912017822266
row_less_sep_row0_col3.csv,0.00728917121887207,0.0066318511962890625,0.006848812103271484
row_extra_quote7_col4.csv,0.007834196090698242,0.006470680236816406,0.006556987762451172
row_extra_quote17_col4.csv,0.008684158325195312,0.0071582794189453125,0.007081270217895508
row_less_sep_row12_col2.csv,0.00842905044555664,0.006956815719604492,0.006617307662963867
row_extra_quote12_col4.csv,0.008124113082885742,0.006852388381958008,0.007158756256103516
row_less_sep_row6_col3.csv,0.008887290954589844,0.007250547409057617,0.007134199142456055
