filename,sqlite_time_0,sqlite_time_1,sqlite_time_2
row_extra_quote80_col1.csv,0.02589702606201172,0.025809526443481445,0.022436141967773438
row_less_sep_row57_col2.csv,0.024732351303100586,0.021686077117919922,0.024146556854248047
row_extra_quote57_col2.csv,0.030293941497802734,0.024231433868408203,0.02708148956298828
row_extra_quote33_col5.csv,0.027324676513671875,0.025470256805419922,0.02384805679321289
row_less_sep_row81_col5.csv,0.028418540954589844,0.025143146514892578,0.02281045913696289
row_less_sep_row2_col7.csv,0.022148847579956055,0.02441692352294922,0.024357318878173828
row_less_sep_row67_col4.csv,0.025995969772338867,0.027166128158569336,0.02380824089050293
row_less_sep_row21_col4.csv,0.02571868896484375,0.02673482894897461,0.02511143684387207
row_more_sep_row17_col6.csv,0.02505326271057129,0.026982545852661133,0.02817058563232422
row_less_sep_row56_col2.csv,0.027734041213989258,0.026157617568969727,0.027817726135253906
row_more_sep_row57_col2.csv,0.023592710494995117,0.03290271759033203,0.02714371681213379
row_extra_quote14_col4.csv,0.026871442794799805,0.02912306785583496,0.023350954055786133
row_less_sep_row61_col6.csv,0.02455615997314453,0.02338123321533203,0.024255037307739258
row_extra_quote20_col6.csv,0.025643110275268555,0.02630305290222168,0.02454209327697754
row_extra_quote74_col3.csv,0.028643131256103516,0.023907899856567383,0.026915311813354492
row_extra_quote53_col7.csv,0.024098634719848633,0.030301332473754883,0.032244205474853516
row_less_sep_row34_col6.csv,0.02498769760131836,0.023300647735595703,0.02538323402404785
row_more_sep_row5_col3.csv,0.023908615112304688,0.02151799201965332,0.023155689239501953
row_more_sep_row10_col0.csv,0.02294301986694336,0.022204160690307617,0.02483654022216797
row_less_sep_row2_col2.csv,0.024437427520751953,0.02865743637084961,0.03490877151489258
row_more_sep_row61_col5.csv,0.03619241714477539,0.03362154960632324,0.03708148002624512
row_extra_quote12_col5.csv,0.03416752815246582,0.045415639877319336,0.03830218315124512
row_less_sep_row47_col2.csv,0.03147578239440918,0.030182361602783203,0.02889561653137207
row_more_sep_row13_col2.csv,0.02387213706970215,0.023230791091918945,0.022156715393066406
row_extra_quote41_col1.csv,0.02381753921508789,0.030623197555541992,0.02962946891784668
row_more_sep_row37_col5.csv,0.0266115665435791,0.02601933479309082,0.025379657745361328
row_extra_quote58_col4.csv,0.02443552017211914,0.0256197452545166,0.025384187698364258
row_extra_quote6_col8.csv,0.026213407516479492,0.023793935775756836,0.03209686279296875
row_more_sep_row2_col4.csv,0.02288031578063965,0.025229454040527344,0.026261329650878906
row_more_sep_row76_col5.csv,0.0235745906829834,0.026044845581054688,0.02315831184387207
row_extra_quote75_col8.csv,0.028459787368774414,0.02282094955444336,0.026586532592773438
row_extra_quote16_col6.csv,0.02483344078063965,0.02434825897216797,-0.06783246994018555
row_less_sep_row25_col7.csv,0.02265787124633789,0.022621870040893555,0.024311065673828125
row_extra_quote3_col1.csv,0.023793697357177734,0.024352550506591797,0.024638891220092773
row_less_sep_row44_col6.csv,0.022718191146850586,0.023668766021728516,0.025007247924804688
row_more_sep_row8_col5.csv,0.023961544036865234,0.025456666946411133,0.025020599365234375
row_more_sep_row31_col8.csv,0.026639699935913086,0.025450706481933594,0.024596691131591797
row_more_sep_row5_col6.csv,0.023509502410888672,0.024106264114379883,0.023673295974731445
row_extra_quote59_col8.csv,0.024207353591918945,0.025236845016479492,0.02361917495727539
row_less_sep_row41_col6.csv,0.024204254150390625,0.02420330047607422,0.025023937225341797
row_extra_quote53_col8.csv,0.0239408016204834,0.022453784942626953,0.024171113967895508
row_more_sep_row3_col1.csv,0.02553844451904297,0.02460622787475586,0.02528977394104004
row_more_sep_row81_col1.csv,0.023096799850463867,0.02577352523803711,0.024523258209228516
row_extra_quote44_col7.csv,0.02407979965209961,0.02359294891357422,0.03170585632324219
row_extra_quote41_col5.csv,0.025295495986938477,0.02295088768005371,0.025084495544433594
row_more_sep_row74_col5.csv,0.027269840240478516,0.02555680274963379,0.028022050857543945
row_more_sep_row28_col0.csv,0.029004573822021484,0.023766040802001953,0.02276134490966797
row_more_sep_row47_col5.csv,0.02143406867980957,0.025009870529174805,0.021622657775878906
row_more_sep_row44_col4.csv,0.02328181266784668,0.023754119873046875,0.02422356605529785
row_more_sep_row51_col6.csv,0.023537874221801758,0.03025984764099121,0.02411198616027832
row_more_sep_row32_col1.csv,0.024246692657470703,0.023015737533569336,0.023618221282958984
row_extra_quote46_col3.csv,0.023321866989135742,0.02869701385498047,0.022766828536987305
row_extra_quote56_col2.csv,0.023221492767333984,0.025193214416503906,0.023783445358276367
row_more_sep_row30_col6.csv,0.02312159538269043,0.02174663543701172,0.023485660552978516
row_less_sep_row69_col4.csv,0.024537324905395508,0.02748584747314453,0.022644996643066406
row_extra_quote0_col0.csv,0.022270679473876953,0.02791595458984375,0.02768683433532715
row_more_sep_row30_col2.csv,0.03464102745056152,0.028467655181884766,0.031946420669555664
row_more_sep_row14_col8.csv,0.03342747688293457,0.03032088279724121,0.029227256774902344
row_less_sep_row54_col2.csv,0.0314793586730957,0.02835249900817871,0.03140401840209961
row_less_sep_row31_col5.csv,0.02728891372680664,0.02541041374206543,0.024306774139404297
row_extra_quote30_col0.csv,0.022179365158081055,0.02231907844543457,0.02528977394104004
row_more_sep_row60_col1.csv,0.02276468276977539,0.02467036247253418,0.02215266227722168
row_extra_quote10_col3.csv,0.021695375442504883,0.025274038314819336,0.022561311721801758
row_less_sep_row6_col5.csv,0.022428512573242188,0.023052692413330078,0.022969961166381836
row_less_sep_row39_col2.csv,0.02350473403930664,0.023815393447875977,0.023868322372436523
row_less_sep_row46_col8.csv,0.02162480354309082,0.025960445404052734,0.022548437118530273
row_extra_quote76_col5.csv,0.022092342376708984,0.02503681182861328,0.02290630340576172
row_extra_quote31_col8.csv,0.02330780029296875,0.022291183471679688,0.02637314796447754
row_extra_quote56_col8.csv,0.02309274673461914,0.024814367294311523,0.025125503540039062
row_less_sep_row48_col7.csv,0.023628711700439453,0.022802352905273438,0.02386188507080078
row_more_sep_row8_col2.csv,0.02368450164794922,0.021491050720214844,0.027083873748779297
row_less_sep_row83_col8.csv,0.022547006607055664,0.022626399993896484,0.024050235748291016
row_more_sep_row68_col3.csv,0.026170015335083008,0.020633459091186523,0.020604372024536133
row_more_sep_row0_col7.csv,0.025906801223754883,0.029645204544067383,0.0272824764251709
row_less_sep_row79_col2.csv,0.026719331741333008,0.028464317321777344,0.03277945518493652
row_less_sep_row4_col7.csv,0.02773308753967285,0.031185388565063477,0.028044462203979492
row_more_sep_row80_col1.csv,0.028486013412475586,0.029158830642700195,0.02817511558532715
row_less_sep_row13_col5.csv,0.02574920654296875,0.02410101890563965,0.023107051849365234
row_more_sep_row22_col3.csv,0.023276805877685547,0.02535223960876465,0.02357006072998047
row_less_sep_row58_col2.csv,0.02176690101623535,0.023014545440673828,0.022552490234375
row_more_sep_row43_col5.csv,0.022220611572265625,0.023447036743164062,0.02367997169494629
row_extra_quote37_col0.csv,0.027757644653320312,0.021547794342041016,0.023398876190185547
row_extra_quote17_col1.csv,0.022098064422607422,0.02234482765197754,0.024465322494506836
row_extra_quote38_col0.csv,0.022166013717651367,0.023799657821655273,0.025504350662231445
row_less_sep_row37_col6.csv,0.023092031478881836,0.0229341983795166,0.024072885513305664
row_extra_quote16_col8.csv,0.02299332618713379,0.024567365646362305,0.02307915687561035
row_less_sep_row15_col5.csv,0.02334427833557129,0.025014877319335938,0.02714085578918457
row_less_sep_row15_col1.csv,0.023917675018310547,0.02247309684753418,0.022264957427978516
row_less_sep_row67_col5.csv,0.023128986358642578,0.023657560348510742,0.024320125579833984
row_less_sep_row12_col8.csv,0.022516489028930664,0.023254871368408203,0.02475905418395996
row_extra_quote45_col8.csv,0.02303004264831543,0.023406267166137695,0.02360248565673828
row_field_delimiter_29_0x20.csv,0.0237576961517334,0.024971961975097656,0.023474693298339844
row_field_delimiter_67_0x20.csv,0.02278900146484375,0.026426076889038086,0.025081872940063477
row_less_sep_row53_col6.csv,0.0220489501953125,0.023042678833007812,0.02707052230834961
row_more_sep_row60_col0.csv,0.02210402488708496,0.023275136947631836,0.022778987884521484
