filename,pandas_time_0,pandas_time_1,pandas_time_2
row_extra_quote14_col4.csv,0.0011463165283203125,0.00029397010803222656,0.0002827644348144531
row_more_sep_row5_col3.csv,0.0013828277587890625,0.0009338855743408203,0.0009975433349609375
row_more_sep_row10_col0.csv,0.0009543895721435547,0.0010132789611816406,0.0010821819305419922
row_less_sep_row2_col2.csv,0.0012516975402832031,0.0014040470123291016,0.0009877681732177734
row_more_sep_row13_col2.csv,0.0009095668792724609,0.0011601448059082031,0.0013167858123779297
row_more_sep_row2_col4.csv,0.0014064311981201172,0.0013148784637451172,0.0011000633239746094
row_extra_quote3_col1.csv,0.0007662773132324219,0.0005037784576416016,0.0004894733428955078
row_more_sep_row3_col1.csv,0.0013217926025390625,0.0009655952453613281,0.0012240409851074219
row_extra_quote0_col0.csv,0.00033593177795410156,0.0003039836883544922,0.00034117698669433594
row_extra_quote10_col3.csv,0.0005102157592773438,0.0004737377166748047,0.00034737586975097656
row_more_sep_row8_col2.csv,0.008390188217163086,0.0011935234069824219,0.0008592605590820312
row_extra_quote17_col1.csv,0.0003101825714111328,0.00025153160095214844,0.0003228187561035156
row_less_sep_row15_col1.csv,0.0011339187622070312,0.0014164447784423828,0.002038717269897461
row_more_sep_row19_col0.csv,0.0017313957214355469,0.0013208389282226562,0.0018415451049804688
row_extra_quote5_col2.csv,0.0004863739013671875,0.0004341602325439453,0.0006082057952880859
row_less_sep_row4_col2.csv,0.0017137527465820312,0.0017285346984863281,0.0012583732604980469
row_less_sep_row10_col1.csv,0.0010221004486083984,0.0009768009185791016,0.0009949207305908203
row_extra_quote1_col3.csv,0.00033855438232421875,0.00018906593322753906,0.00027108192443847656
row_field_delimiter_5_0x20.csv,0.0012049674987792969,0.0008099079132080078,0.0009284019470214844
row_less_sep_row4_col4.csv,0.001138925552368164,0.0008747577667236328,0.001020193099975586
row_less_sep_row19_col4.csv,0.001165151596069336,0.0011954307556152344,0.0008924007415771484
row_less_sep_row5_col1.csv,0.0012478828430175781,0.0009706020355224609,0.0008919239044189453
row_more_sep_row11_col0.csv,0.0009238719940185547,0.00148773193359375,0.0013034343719482422
row_extra_quote4_col3.csv,0.0006396770477294922,0.0004603862762451172,0.0003554821014404297
row_field_delimiter_1_0x20.csv,0.0010313987731933594,0.0011048316955566406,0.001062631607055664
row_less_sep_row16_col3.csv,0.0012156963348388672,0.0010097026824951172,0.0012083053588867188
row_less_sep_row20_col3.csv,0.0011930465698242188,0.0011415481567382812,0.0009677410125732422
row_more_sep_row13_col3.csv,0.0009312629699707031,0.0011265277862548828,0.0008985996246337891
row_extra_quote3_col4.csv,0.0005381107330322266,0.00025725364685058594,0.0003292560577392578
